"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"270","Yuukoku no Moriarty 2nd Season","Apr",2021,NA,NA,8.23,"TV ",13
"271","Chihayafuru","Oct",2011,"Mar",2012,8.23,"TV ",25
"272","Detective Conan Movie 13: The Raven Chaser","Apr",2009,"Apr",2009,8.23,"Movie ",1
"273","Diamond no Ace: Act II","Apr",2019,"Mar",2020,8.23,"TV ",52
"274","Dr. Stone: Stone Wars","Jan",2021,"Mar",2021,8.23,"TV ",11
"275","Hajime no Ippo: Mashiba vs. Kimura","Sep",2003,"Sep",2003,8.23,"OVA ",1
"276","Kono Sekai no Katasumi ni","Nov",2016,"Nov",2016,8.23,"Movie ",1
"277","Majo no Takkyuubin","Jul",1989,"Jul",1989,8.23,"Movie ",1
"278","Major S4","Jan",2008,"Jun",2008,8.23,"TV ",26
"279","Mimi wo Sumaseba","Jul",1995,"Jul",1995,8.23,"Movie ",1
"280","Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","Oct",2016,"Apr",2017,8.23,"TV ",25
"281","Bakuman.","Oct",2010,"Apr",2011,8.22,"TV ",25
"282","Cardcaptor Sakura Movie 2: Fuuin Sareta Card","Jul",2000,"Jul",2000,8.22,"Movie ",1
"283","Ginga Eiyuu Densetsu: Die Neue These - Seiran 3","Nov",2019,"Nov",2019,8.22,"Movie ",4
"284","Girls & Panzer Movie","Nov",2015,"Nov",2015,8.22,"Movie ",1
"285","Higurashi no Naku Koro ni Kai","Jul",2007,"Dec",2007,8.22,"TV ",24
"286","InuYasha: Kanketsu-hen","Oct",2009,"Mar",2010,8.22,"TV ",26
"287","Kaguya-hime no Monogatari","Nov",2013,"Nov",2013,8.22,"Movie ",1
"288","Little Busters!: Refrain","Oct",2013,"Dec",2013,8.22,"TV ",13
"289","ReLIFE: Kanketsu-hen","Mar",2018,"Mar",2018,8.22,"Special ",4
"290","xxxHOLiC Rou","Apr",2010,"Mar",2011,8.22,"OVA ",2
"291","One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari","Aug",2013,"Aug",2013,8.21,"Special ",1
"292","Saiki Kusuo no Ψ-nan: Kanketsu-hen","Dec",2018,"Dec",2018,8.21,"Special ",1
"293","Toradora!","Oct",2008,"Mar",2009,8.21,"TV ",25
"294","Boku no Hero Academia 3rd Season","Apr",2018,"Sep",2018,8.21,"TV ",25
"295","Fate/stay night: Unlimited Blade Works","Oct",2014,"Dec",2014,8.21,"TV ",12
"296","Golden Kamuy 2nd Season","Oct",2018,"Dec",2018,8.21,"TV ",12
"297","Hunter x Hunter: Greed Island","Feb",2003,"Apr",2003,8.21,"OVA ",8
"298","Liz to Aoi Tori","Apr",2018,"Apr",2018,8.21,"Movie ",1
"299","Ballroom e Youkoso","Jul",2017,"Dec",2017,8.2,"TV ",24
